trajectory_id,split,index,du,dv,k,ic_seed,nfev,max_abs_state,final_mean_u,final_mean_v,final_std_u,final_std_v
v2-training-0337,training,337,0.0009006715840695061,0.0043748968292375906,0.005229878308699694,20461259,4445,1.9318071603775024,-0.018347591161727905,-0.018375858664512634,0.4455011487007141,0.2296144664287567
v2-training-0338,training,338,0.0011694002050889954,0.004951660343212685,0.004459287111551172,20461260,4625,1.7965747117996216,-0.020730704069137573,-0.02070336975157261,0.4136917293071747,0.22454331815242767
v2-training-0339,training,339,0.0008139102123842642,0.005717461067092814,0.0040021705021657545,20461261,5165,1.8534830808639526,-0.010211603716015816,-0.01015697792172432,0.5115750432014465,0.2335052341222763
v2-training-0340,training,340,0.001068013559905196,0.004148749462904771,0.00464353558291468,20461262,4181,1.4908943176269531,-0.021095335483551025,-0.021152015775442123,0.3954237401485443,0.22507968544960022
v2-training-0341,training,341,0.0011254970257603117,0.0046185950657815404,0.005555302994349134,20461263,4373,1.3480268716812134,-0.017224207520484924,-0.017332933843135834,0.40884652733802795,0.22698327898979187
v2-training-0342,training,342,0.001105540575340095,0.005873458864954111,0.0052469149708837875,20461264,5117,1.5523890256881714,-0.01685076206922531,-0.016904018819332123,0.4590246379375458,0.23113052546977997
v2-training-0343,training,343,0.0008386303368918469,0.004502123635342608,0.004623958304895813,20461265,4289,1.3484227657318115,-0.013904599472880363,-0.013922720216214657,0.4670499265193939,0.2343326359987259
v2-training-0344,training,344,0.0010801338812913206,0.005014392411521873,0.005542047743694699,20461266,4625,1.9212427139282227,-0.023003652691841125,-0.023083273321390152,0.4347166419029236,0.2355423867702484
v2-training-0345,training,345,0.000980576733430522,0.004190623074238376,0.004759126061450939,20461267,4193,1.2393817901611328,-0.02211768738925457,-0.02212311141192913,0.41828617453575134,0.23454926908016205
v2-training-0346,training,346,0.0011043878929440768,0.004726226216191504,0.005355660524801834,20461268,4457,2.032158613204956,-0.018491296097636223,-0.018571995198726654,0.42270469665527344,0.22089643776416779
v2-training-0347,training,347,0.000940525561859964,0.005332749233855293,0.0053234618659116426,20461269,4865,1.9350881576538086,-0.017646295949816704,-0.01770341582596302,0.4758104681968689,0.232728973031044
v2-training-0348,training,348,0.0008111327034101924,0.005853692997337352,0.00570433947469719,20461270,5333,1.6202590465545654,-0.007271143142133951,-0.00725972093641758,0.5204476714134216,0.2251458466053009
v2-training-0349,training,349,0.0009372925661769727,0.005222686387193005,0.004426023587465183,20461271,4733,1.5899200439453125,-0.010530974715948105,-0.010593029670417309,0.4688780903816223,0.2362358421087265
v2-training-0350,training,350,0.0008188310314445544,0.004973428566233286,0.004823045075027142,20461272,4673,1.6127607822418213,-0.012370500713586807,-0.012359950691461563,0.48913609981536865,0.23151497542858124
v2-training-0351,training,351,0.001139942043007032,0.005845334977819257,0.005771427646199682,20461273,5213,1.6427538394927979,-0.02480604499578476,-0.025084620341658592,0.4525650143623352,0.21705619990825653
