optimizer_steps,loss,physical_velocity_mse,spectral_relative_error,velocity_nrmse,velocity_nrmse_u,velocity_nrmse_v,gradient_norm,rollout_nrmse,final_rollout_nrmse,boundary_normal_mse,stable
3000.0,0.00155089411418885,1.921355396916624e-05,0.0017130267806351185,0.024582209065556526,0.029687920585274696,0.01820012740790844,5.76561164855957,nan,nan,nan,1.0
3100.0,0.0009730535093694925,1.8086931959260255e-05,0.0009917047573253512,0.019826633855700493,0.028843453153967857,0.01583830453455448,4.455293655395508,nan,nan,nan,1.0
3200.0,0.0013314035022631288,1.7121434211730957e-05,0.0014734180876985192,0.02474491111934185,0.029248181730508804,0.017966454848647118,5.222326278686523,nan,nan,nan,1.0
3300.0,0.001275602844543755,1.6179774320335127e-05,0.0014591175131499767,0.023093512281775475,0.027158141136169434,0.017466722056269646,4.809662342071533,nan,nan,nan,1.0
3400.0,0.004885276313871145,1.744012115523219e-05,0.00601410074159503,0.03416161984205246,0.04013432189822197,0.0280018150806427,3.97495436668396,nan,nan,nan,1.0
3500.0,0.0005796633777208626,1.432500357623212e-05,0.000542840629350394,0.016599813476204872,0.016205530613660812,0.01914958655834198,3.1632537841796875,nan,nan,nan,1.0
3600.0,0.00178772013168782,1.661897294980008e-05,0.0020114032085984945,0.04147182032465935,0.04174228385090828,0.04116852208971977,2.628704309463501,nan,nan,nan,1.0
3700.0,0.0006103413761593401,1.2562515621539205e-05,0.0006119383033365011,0.01718396320939064,0.01508847065269947,0.02118046022951603,3.2226221561431885,nan,nan,nan,1.0
3800.0,0.0004278865235392004,1.1634979273367207e-05,0.0003942757612094283,0.015104233287274837,0.014477583579719067,0.01787828467786312,2.6242282390594482,nan,nan,nan,1.0
3900.0,0.005122426897287369,4.028432158520445e-05,0.0059931050054728985,0.05102618783712387,0.05671936646103859,0.04493185132741928,1.9575738906860352,nan,nan,nan,1.0
4000.0,0.001671614940278232,1.4367824405780993e-05,0.001871415413916111,0.021720565855503082,0.02884499542415142,0.01576814614236355,5.47339391708374,nan,nan,nan,1.0
4100.0,0.0008750989218242466,1.2106111171306111e-05,0.0009327190928161144,0.0186019204556942,0.0236178170889616,0.012610244564712048,3.767942190170288,nan,nan,nan,1.0
4200.0,0.0009299339144490659,1.1099881703557912e-05,0.0010221480624750257,0.019271032884716988,0.02369656041264534,0.012237322516739368,3.309915065765381,nan,nan,nan,1.0
4300.0,0.000946653657592833,1.0381603715359233e-05,0.0010546952253207564,0.019509680569171906,0.02409522421658039,0.012148572131991386,3.0099565982818604,nan,nan,nan,1.0
4400.0,0.0009468442876823246,9.804242836253252e-06,0.0010636425577104092,0.019651979207992554,0.024266468361020088,0.01224757544696331,2.791602849960327,nan,nan,nan,1.0
4500.0,0.0009135766886174679,9.309035704063717e-06,0.0010285214520990849,0.019521581009030342,0.023976217955350876,0.012460380792617798,2.679272174835205,nan,nan,nan,1.0
4600.0,0.000739123672246933,8.864422852639109e-06,0.0008123767911456525,0.0180946234613657,0.02189619280397892,0.012256842106580734,2.9439659118652344,nan,nan,nan,1.0
4700.0,0.0006847417680546641,8.459288437734358e-06,0.0007490987190976739,0.017791956663131714,0.022235237061977386,0.01045327726751566,2.9205121994018555,nan,nan,nan,1.0
4800.0,0.0005875799106433988,8.060524123720825e-06,0.0006309854798018932,0.01688920520246029,0.021244315430521965,0.009202160872519016,3.0272302627563477,nan,nan,nan,1.0
4900.0,0.0004684946616180241,7.678444490011316e-06,0.0004843485075980425,0.015529191121459007,0.01932285539805889,0.008963853120803833,3.2418229579925537,nan,nan,nan,1.0
5000.0,0.0003675689804367721,7.305093276954722e-06,0.00036080984864383936,0.014205897226929665,0.018369531258940697,0.008643812499940395,3.454061985015869,nan,nan,nan,1.0
