trajectory_id,split,index,du,dv,k,ic_seed,ic_regime,parameter_band,success,cached,runtime_seconds,nfev,max_abs_state,final_mean_u,final_mean_v,final_std_u,final_std_v,message
id-0051,id,51,0.0008377834170285548,0.005109702568727055,0.005592862972538654,31780,train,central,True,True,1.6282848329865374,4601,2.941866636276245,-0.01436684935601562,-0.01441479764935727,0.4832877364392536,0.2239336124404941,The solver successfully reached the end of the integration interval.
id-0052,id,52,0.0008854871316287076,0.005246605279368171,0.004710644372768231,31781,train,central,True,True,1.6588087920099497,4661,1.8487964868545532,-0.013998251347942414,-0.014055895088691983,0.4776371229426743,0.2334876383031722,The solver successfully reached the end of the integration interval.
id-0053,id,53,0.0010358783980814988,0.004961909810115565,0.004778326174467919,31782,train,central,True,True,1.5674762499984354,4433,1.8131215572357178,-0.01984544981193892,-0.020099544520755686,0.4374907358909776,0.23217748272447486,The solver successfully reached the end of the integration interval.
id-0054,id,54,0.0008221172815686723,0.005801512180240626,0.0059872111663331375,31783,train,central,True,True,1.6395890840212815,5081,2.003035545349121,-0.016030772047528785,-0.016087848197809507,0.5141258318559024,0.23118685576504364,The solver successfully reached the end of the integration interval.
id-0055,id,55,0.0011328914941119632,0.0056901260636066575,0.004350890352488879,31784,train,central,True,True,1.6515912920003757,4997,1.6102306842803955,-0.021643504907331135,-0.02163965843904947,0.4490453978322496,0.22728965807839757,The solver successfully reached the end of the integration interval.
id-0056,id,56,0.0009421617070053405,0.004832478506699054,0.005978904282846299,31785,train,central,True,True,1.5685715830186382,4373,2.0795252323150635,-0.015239980511722706,-0.015268582998430702,0.45266235999905596,0.2270719794956329,The solver successfully reached the end of the integration interval.
id-0057,id,57,0.0008483210696581081,0.005556053480947948,0.004930549077698515,31786,train,central,True,True,1.6352598330122419,4901,2.310213088989258,-0.008795936133522808,-0.008916376678193672,0.4953332343553045,0.23105689921105355,The solver successfully reached the end of the integration interval.
id-0058,id,58,0.0008802953651612425,0.004197636192763697,0.004611935139345557,31787,train,central,True,True,1.229010000010021,3881,1.9166638851165771,-0.01805413004194989,-0.018074546616460907,0.4367849183469951,0.23061882417744323,The solver successfully reached the end of the integration interval.
id-0059,id,59,0.001122960721695209,0.004745967827656921,0.005429011817307915,31788,train,central,True,True,1.4643728749942966,4265,1.911881446838379,-0.024013386195182562,-0.02380921126739688,0.4111903135849143,0.22600536564861265,The solver successfully reached the end of the integration interval.
id-0060,id,60,0.0009455114961991772,0.004255286967855661,0.0058936200489976805,31789,train,central,True,True,1.3868929999880493,3905,2.223285436630249,-0.02171493221052856,-0.021621524360812217,0.42555127537599524,0.2248902681880286,The solver successfully reached the end of the integration interval.
id-0061,id,61,0.00116535511492616,0.0042715888520410035,0.004803990717760992,31790,train,central,True,True,1.380956042004982,3965,1.5991545915603638,-0.030465942097183174,-0.030454268828563613,0.3765688831784688,0.21834954496634004,The solver successfully reached the end of the integration interval.
id-0062,id,62,0.0008897718513914983,0.00499758297313372,0.004403886258103201,31791,train,central,True,True,1.4222300830006134,4517,2.220247507095337,-0.015661298518033107,-0.015699955758270434,0.46840190441975277,0.22544731104128432,The solver successfully reached the end of the integration interval.
id-0063,id,63,0.001100577684790514,0.004139438457097081,0.004508050337613849,31792,train,central,True,True,1.3149054160166997,3869,1.5410264730453491,-0.01719314395371896,-0.017361269052258876,0.3877267311840114,0.21740030008922273,The solver successfully reached the end of the integration interval.
id-0064,id,64,0.0011086551146298616,0.004312912612718873,0.005101605620249168,31793,train,central,True,True,1.3739129159948789,3941,2.0420444011688232,-0.02398674686323332,-0.024025056131510958,0.3964183335348199,0.22690965252712247,The solver successfully reached the end of the integration interval.
id-0065,id,65,0.0009572085102246479,0.005787937999173534,0.004663738517184435,31794,train,central,True,True,1.724670999974478,5057,1.6669169664382935,-0.015489730814893576,-0.015528772704760385,0.4853041150368121,0.226331743899152,The solver successfully reached the end of the integration interval.
