optimizer_steps,loss,physical_velocity_mse,spectral_relative_error,velocity_nrmse,velocity_nrmse_u,velocity_nrmse_v,gradient_norm,rollout_nrmse,final_rollout_nrmse,boundary_normal_mse,stable
2600.0,0.0048742955550551414,0.00011173578968737274,0.004620962776243687,0.07247968763113022,0.06712615489959717,0.07759679108858109,5.791277885437012,nan,nan,nan,1.0
2700.0,0.0028913754504173994,8.949361654231325e-05,0.003100579371675849,0.033971577882766724,0.05575595051050186,0.023616811260581017,7.920034885406494,nan,nan,nan,1.0
2800.0,0.0009861865546554327,8.062321285251528e-05,0.0007499296916648746,0.026276960968971252,0.039436738938093185,0.021191708743572235,4.33497953414917,nan,nan,nan,1.0
2900.0,0.0013239216059446335,7.356506830547005e-05,0.0012260437943041325,0.027789834886789322,0.044180214405059814,0.0212412029504776,5.282814979553223,nan,nan,nan,1.0
3000.0,0.0014249933883547783,6.75057599437423e-05,0.0013929769629612565,0.028617311269044876,0.046778604388237,0.020044490694999695,5.548836708068848,nan,nan,nan,1.0
3100.0,0.0013610789319500327,6.209613638930023e-05,0.001342632109299302,0.027842653915286064,0.04513593390583992,0.0189653467386961,5.398012638092041,nan,nan,nan,1.0
3200.0,0.011622833088040352,6.227980338735506e-05,0.013195796869695187,0.026777194812893867,0.03328123316168785,0.03087352216243744,7.658405780792236,nan,nan,nan,1.0
3300.0,0.004050258081406355,5.37660343979951e-05,0.004790059756487608,0.038120947778224945,0.05100179463624954,0.022111324593424797,5.443832874298096,nan,nan,nan,1.0
3400.0,0.007269915658980608,7.13666231604293e-05,0.008124757558107376,0.08475923538208008,0.0838904082775116,0.07475645840167999,14.732597351074219,nan,nan,nan,1.0
3500.0,0.004398064687848091,4.958935460308567e-05,0.005297915078699589,0.0420624203979969,0.05023156851530075,0.0199617687612772,3.9761414527893066,nan,nan,nan,1.0
3600.0,0.004214218817651272,4.6514844143530354e-05,0.005067726597189903,0.0402507409453392,0.05028173699975014,0.023099707439541817,5.89642858505249,nan,nan,nan,1.0
3700.0,0.002676012460142374,4.3850548536283895e-05,0.003107853466644883,0.03188616409897804,0.04669266194105148,0.018458757549524307,12.203542709350586,nan,nan,nan,1.0
